SalaryID,EmployeeID,BasicPay,Allowances,Deductions,NetPay,PaymentDate
57,57,90101.84,19653.68,19533.8,90221.72,2017-06-07
58,58,84805.18,16025.27,13503.53,87326.92,2014-10-27
59,59,28831.2,11850.92,5602.06,35080.06,2024-08-27
60,60,46346.27,6191.42,5146.93,47390.76,2011-04-27
61,61,67363.37,12087.46,12652.76,66798.07,2016-05-06
62,62,88046.72,29357.86,18729.53,98675.05,2014-12-08
63,63,29381.7,10525.59,5137.58,34769.71,2010-09-21
64,64,79278.11,27584.94,10185.46,96677.59,2014-11-22
65,65,27814.03,12147.68,6030.23,33931.48,2022-06-28
66,66,56909.59,6996.32,6998.09,56907.82,2016-10-11
67,67,80030.35,23242.49,13238.66,90034.18,2014-08-28
68,68,87053.79,25736.98,17293.05,95497.72,2018-10-05
69,69,55358.46,16808.41,16432.55,55734.32,2022-07-30
70,70,52874.04,10102.45,6469.13,56507.36,2021-09-24
71,71,53088.52,10445.6,6003.86,57530.26,2017-09-09
72,72,55873.57,11372.32,6745.46,60500.43,2017-12-01
73,73,45113.1,9834.27,8485.84,46461.53,2017-02-02
74,74,57810.18,5835.49,5641.0,58004.67,2023-09-24
75,75,53483.09,11683.92,6548.74,58618.27,2019-01-26
76,76,58338.88,9874.93,7061.3,61152.51,2022-05-22
77,77,29203.32,13975.4,5821.18,37357.54,2019-09-09
78,78,69267.27,23734.26,7675.18,85326.35,2017-11-02
79,79,43012.09,12701.27,9486.15,46227.21,2013-12-23
80,80,53402.83,12446.56,5935.45,59913.94,2024-12-21
81,81,80233.68,27176.36,7637.56,99772.48,2013-08-26
82,82,53811.79,23246.36,8915.7,68142.45,2024-07-27
83,83,48487.79,6274.64,9449.72,45312.71,2024-06-12
84,84,82355.09,28662.41,15827.76,95189.74,2011-04-15
85,85,26796.91,9046.51,8814.95,27028.47,2011-04-21
86,86,63026.31,24977.68,18140.12,69863.87,2010-09-30
87,87,48662.42,14354.07,6844.16,56172.33,2020-11-28
88,88,58448.32,24911.9,6647.85,76712.37,2023-03-05
89,89,58422.72,28125.04,17345.39,69202.37,2012-08-28
90,90,28913.25,9625.32,5488.98,33049.59,2012-08-15
91,91,58257.57,14386.81,9828.77,62815.61,2023-10-16
92,92,65314.49,15190.47,17792.7,62712.26,2012-03-25
93,93,78955.7,17704.62,5604.64,91055.68,2023-12-17
94,94,41358.39,9927.78,9178.68,42107.49,2024-01-13
95,95,37522.59,7055.6,7726.48,36851.71,2022-12-24
96,96,79925.83,28422.34,18166.18,90181.99,2013-11-09
97,97,69694.75,15879.58,12541.81,73032.52,2023-08-26
98,98,79900.88,26520.02,12781.17,93639.73,2024-05-27
99,99,47290.73,5873.54,6524.64,46639.63,2024-09-19
100,100,45796.91,11137.08,9653.99,47280.0,2022-03-28
101,101,63987.73,28004.95,14800.31,77192.37,2015-08-27
102,102,30316.84,7600.06,5252.45,32664.45,2013-10-20
103,103,55641.94,20487.18,12063.12,64066.0,2018-12-15
104,104,51620.35,23117.91,8143.21,66595.05,2019-07-30
105,105,41506.0,13652.39,5979.1,49179.29,2010-08-26
106,106,79241.48,13073.18,12785.75,79528.91,2022-06-16
107,107,78819.56,26463.31,12490.43,92792.44,2017-12-01
108,108,77231.46,18413.76,15786.54,79858.68,2010-03-06
109,109,61644.03,12932.5,14739.83,59836.7,2014-05-17
110,110,55114.87,9050.09,6484.21,57680.75,2019-03-04
111,111,69972.12,10926.94,13061.76,67837.3,2012-01-13
112,112,54183.77,14116.53,6180.24,62120.06,2024-06-20
113,113,94849.01,15587.01,17757.64,92678.38,2017-02-24
114,114,69299.51,23482.46,18852.24,73929.73,2011-02-11
115,115,48700.63,7955.91,8687.39,47969.15,2012-08-28
116,116,100894.08,13917.29,16747.21,98064.16,2011-12-19
117,117,66906.31,27293.54,17322.35,76877.5,2013-12-01
118,118,40856.89,12742.54,9366.33,44233.1,2024-08-19
119,119,64247.55,14664.01,9072.11,69839.45,2015-09-12
120,120,42029.87,5518.79,6711.94,40836.72,2020-08-11
121,121,84860.15,24225.77,10542.76,98543.16,2013-03-23
122,122,60740.93,20351.86,12778.96,68313.83,2021-10-28
123,123,27768.44,14178.98,9747.02,32200.4,2018-03-21
124,124,31515.92,11192.4,8675.89,34032.43,2023-10-02
125,125,54389.32,12811.57,15337.55,51863.34,2022-07-13
126,126,50064.38,17381.72,9539.78,57906.32,2022-08-18
127,127,55902.19,5951.84,6265.14,55588.89,2024-07-04
128,128,63234.71,14765.23,13356.44,64643.5,2010-05-05
129,129,59749.68,11291.42,5983.82,65057.28,2023-11-03
130,130,71605.58,22728.79,18512.51,75821.86,2018-11-25
131,131,69654.15,15573.8,10593.02,74634.93,2011-06-18
132,132,35547.29,13486.61,7236.27,41797.63,2024-02-27
133,133,39518.78,13878.7,5549.49,47847.99,2014-10-05
134,134,26259.27,7095.4,9864.29,23490.38,2022-02-09
135,135,40181.2,12522.38,7571.13,45132.45,2013-04-24
136,136,59344.6,20253.77,5172.91,74425.46,2016-12-08
137,137,50945.54,10396.98,6998.99,54343.53,2017-07-11
138,138,33726.07,5854.97,5528.26,34052.78,2019-08-03
139,139,35259.73,7852.48,9359.89,33752.32,2024-09-14
140,140,53649.17,18979.25,6348.52,66279.9,2012-12-23
141,141,24896.34,13930.24,5761.16,33065.42,2019-12-04
142,142,79320.09,16366.95,17807.06,77879.98,2011-09-10
143,143,72225.51,28911.43,15842.9,85294.04,2023-12-24
144,144,62104.6,22510.14,7603.4,77011.34,2012-04-16
145,145,86622.45,10049.46,12537.07,84134.84,2018-09-20
146,146,74157.57,26716.52,10900.44,89973.65,2022-06-21
147,147,75301.97,12686.94,6705.42,81283.49,2019-01-23
148,148,52817.05,17993.41,6904.17,63906.29,2021-06-20
149,149,20116.79,7955.02,7619.58,20452.23,2011-06-19
150,150,24777.98,12448.36,7399.18,29827.16,2013-12-07
151,151,36810.13,13985.21,7753.83,43041.51,2010-01-26
152,152,57612.55,18577.24,12693.34,63496.45,2019-03-01
153,153,29135.78,13355.04,7687.53,34803.29,2022-07-19
154,154,50822.88,12224.35,8062.79,54984.44,2010-11-27
155,155,93257.09,13107.35,6661.42,99703.02,2017-09-09
156,156,42056.55,6056.14,6517.34,41595.35,2016-07-05
157,157,54747.0,20804.22,13387.01,62164.21,2016-04-14
158,158,49331.59,12141.95,9717.46,51756.08,2018-08-31
159,159,61539.58,15893.03,14643.24,62789.37,2018-01-31
160,160,30660.64,10635.13,5036.32,36259.45,2017-06-19
161,161,50160.63,20837.32,6569.6,64428.35,2021-02-21
162,162,81625.6,22075.95,13628.65,90072.9,2016-08-12
163,163,36537.41,7571.84,7184.48,36924.77,2018-03-25
164,164,48995.5,12291.76,5313.46,55973.8,2010-03-11
165,165,56318.78,7481.04,7325.66,56474.16,2021-02-06
166,166,53927.27,13636.46,8977.01,58586.72,2011-03-16
167,167,62770.92,29469.26,15826.49,76413.69,2024-10-02
168,168,57289.62,14762.56,8530.61,63521.57,2011-08-27
169,169,69033.51,25845.47,11941.12,82937.86,2015-03-27
170,170,44370.42,10928.26,6028.78,49269.9,2020-06-13
171,171,38750.87,10139.61,8657.65,40232.83,2011-03-29
172,172,28095.65,5212.24,8721.69,24586.2,2019-09-19
173,173,68973.73,10322.49,8684.53,70611.69,2021-04-13
174,174,58915.98,15988.52,15908.2,58996.3,2012-03-13
175,175,30743.41,14599.36,6110.55,39232.22,2023-04-05
176,176,59368.26,9679.52,6816.86,62230.92,2013-07-14
177,177,58901.92,22063.5,6426.25,74539.17,2010-07-03
178,178,35893.63,14787.02,9163.48,41517.17,2012-01-07
179,179,35602.15,6614.49,5395.53,36821.11,2017-10-13
180,180,64615.9,15287.1,18692.66,61210.34,2024-07-19
181,181,90065.69,20069.24,13491.85,96643.08,2017-07-16
182,182,23847.43,6651.0,6931.79,23566.64,2024-05-06
183,183,82377.69,12505.93,13026.01,81857.61,2015-11-28
184,184,49150.23,9190.88,8038.2,50302.91,2024-07-19
185,185,89317.07,11598.61,6122.71,94792.97,2018-06-24
186,186,43682.01,8879.41,5626.44,46934.98,2013-12-26
187,187,61699.21,26112.36,17189.88,70621.69,2023-10-31
188,188,28351.66,5243.94,8816.81,24778.79,2011-10-15
189,189,62365.39,17290.34,9520.93,70134.8,2024-10-22
190,190,28473.66,5683.54,9446.8,24710.4,2013-09-29
191,191,24938.24,6189.93,5305.82,25822.35,2011-04-22
192,192,71778.47,27848.92,6675.33,92952.06,2013-09-17
193,193,56620.72,26100.46,15765.5,66955.68,2013-10-21
194,194,79250.96,17940.26,18063.69,79127.53,2015-04-30
195,195,91028.95,23151.25,15372.23,98807.97,2016-05-03
196,196,76838.93,24886.32,16416.43,85308.82,2014-05-21
197,197,49250.48,5877.67,8618.51,46509.64,2014-02-04
198,198,86404.75,15921.59,8366.01,93960.33,2016-12-23
199,199,99395.51,19221.39,18925.74,99691.16,2020-11-30
200,200,39152.81,6303.49,7501.94,37954.36,2020-01-11
201,201,55851.47,27576.33,16973.48,66454.32,2024-12-19
202,202,82561.77,17070.06,10395.85,89235.98,2018-11-19
203,203,84959.89,11406.89,11070.62,85296.16,2014-03-02
204,204,81035.07,24317.55,16943.09,88409.53,2017-12-17
205,205,51005.62,19570.42,6781.17,63794.87,2014-10-02
206,206,54093.1,10371.22,5552.18,58912.14,2019-02-23
207,207,30394.47,13015.43,5708.13,37701.77,2019-10-08
208,208,53499.28,11045.19,9972.18,54572.29,2014-11-05
209,209,77741.37,12336.6,14195.06,75882.91,2022-07-24
210,210,59636.45,19152.63,10748.61,68040.47,2018-07-24
211,211,90991.37,13218.16,10005.01,94204.52,2023-03-14
212,212,53950.85,19384.82,16841.68,56493.99,2020-03-17
213,213,89069.53,13074.88,15987.74,86156.67,2020-06-24
214,214,30527.62,8985.93,8815.62,30697.93,2019-08-25
215,215,76289.35,13719.05,5289.84,84718.56,2014-01-26
216,216,59590.33,16970.53,16208.36,60352.5,2017-05-29
217,217,66196.62,11340.87,19068.16,58469.33,2020-08-13
218,218,58206.97,12405.51,13722.57,56889.91,2011-04-30
219,219,85787.83,16582.17,6159.69,96210.31,2023-08-12
220,220,73845.63,24409.54,18205.57,80049.6,2011-01-23
221,221,58937.69,29229.95,18756.93,69410.71,2017-12-23
222,222,73474.31,16159.44,11372.44,78261.31,2012-10-29
223,223,44436.21,5473.02,7769.53,42139.7,2014-03-06
224,224,75759.07,12648.51,10190.95,78216.63,2020-10-26
225,225,56459.06,9332.97,7378.96,58413.07,2022-12-03
226,226,30253.02,11389.15,6857.33,34784.84,2018-04-17
227,227,98019.12,10385.93,12747.35,95657.7,2011-08-17
228,228,71737.82,11435.68,9365.96,73807.54,2011-07-26
229,229,53431.69,14458.29,5074.88,62815.1,2015-09-06
230,230,37925.93,8342.65,8245.47,38023.11,2019-09-30
231,231,82808.17,11061.8,9796.8,84073.17,2019-08-14
232,232,84918.93,15781.86,15977.83,84722.96,2021-02-19
233,233,66049.55,11252.12,12704.15,64597.52,2018-10-07
234,234,62035.58,12352.01,16805.96,57581.63,2023-04-18
235,235,72202.4,22385.1,9500.55,85086.95,2016-11-21
236,236,39014.09,12200.09,7381.55,43832.63,2011-10-08
237,237,27178.31,6718.31,6864.07,27032.55,2013-03-08
238,238,71977.78,14426.04,19991.61,66412.21,2011-06-20
239,239,71205.45,13472.88,15262.83,69415.5,2016-02-25
240,240,74630.89,19143.72,10645.92,83128.69,2010-04-18
241,241,53015.52,7288.22,5040.37,55263.37,2018-01-09
242,242,50314.24,13827.83,6582.55,57559.52,2022-05-21
243,243,42195.79,8088.47,8825.69,41458.57,2013-06-21
244,244,59606.15,18129.08,8486.63,69248.6,2013-06-05
245,245,51424.08,24939.16,6482.71,69880.53,2019-09-16
246,246,31693.96,13044.15,7077.96,37660.15,2018-02-11
247,247,84805.4,11437.18,15639.31,80603.27,2010-12-08
248,248,66201.47,25582.72,12272.67,79511.52,2024-10-30
249,249,52772.29,22781.39,6454.49,69099.19,2020-10-26
250,250,71590.09,29693.76,8955.56,92328.29,2022-03-24
251,251,59609.86,14998.39,7899.45,66708.8,2012-04-30
252,252,30409.96,9742.67,6187.43,33965.2,2012-03-31
253,253,89692.42,12329.19,9948.3,92073.31,2017-06-21
254,254,22844.09,11870.98,7063.06,27652.01,2015-01-03
255,255,82584.03,17785.81,5018.62,95351.22,2017-12-04
256,256,79274.19,20000.52,14711.25,84563.46,2010-03-28
257,257,69779.28,17874.06,7843.87,79809.47,2016-06-20
258,258,80279.95,16505.6,8178.85,88606.7,2014-08-25
259,259,91226.33,10284.35,12506.22,89004.46,2020-01-31
260,260,24428.43,14328.38,7335.97,31420.84,2011-12-23
261,261,58420.57,17404.07,6132.42,69692.22,2023-10-15
262,262,50936.22,19258.39,16293.4,53901.21,2019-06-25
263,263,52327.06,13792.08,19139.51,46979.63,2016-03-02
264,264,56696.33,12465.76,12621.75,56540.34,2012-05-22
265,265,53907.21,25160.53,19787.71,59280.03,2019-10-18
266,266,62984.58,14237.81,8108.9,69113.49,2010-01-02
267,267,50889.85,12866.14,16975.55,46780.44,2015-02-28
268,268,36802.27,9550.02,5026.64,41325.65,2014-09-04
269,269,28207.43,10979.33,5902.97,33283.79,2023-10-28
270,270,41558.61,12988.25,7705.22,46841.64,2017-03-02
271,271,42831.38,13974.65,9937.18,46868.85,2014-07-28
272,272,29404.33,5290.69,5694.21,29000.81,2011-12-04
273,273,57763.92,11560.64,5283.49,64041.07,2022-04-18
274,274,42870.14,5708.27,9242.06,39336.35,2020-04-06
275,275,60603.08,19193.87,7231.12,72565.83,2023-03-15
276,276,65396.3,21925.83,10709.72,76612.41,2015-01-15
277,277,65765.34,22632.15,18714.17,69683.32,2015-12-10
278,278,80632.12,16111.39,14686.12,82057.39,2013-01-16
279,279,80922.58,27357.16,13172.87,95106.87,2024-11-13
280,280,91521.49,17521.68,15921.84,93121.33,2013-11-13
281,281,88504.59,15502.09,11948.42,92058.26,2020-01-25
282,282,46053.9,14485.28,6369.9,54169.28,2017-12-13
283,283,32941.84,5322.75,8943.66,29320.93,2020-05-12
284,284,68675.72,22480.18,18155.01,73000.89,2023-11-19
285,285,84269.55,19695.53,5754.13,98210.95,2015-11-14
286,286,33036.99,8910.71,5262.18,36685.52,2013-08-26
287,287,29189.94,13119.31,8399.06,33910.19,2012-06-01
288,288,35006.83,12016.29,7856.23,39166.89,2016-06-10
289,289,42839.73,8325.03,8947.61,42217.15,2013-06-27
290,290,40556.82,6962.84,6401.68,41117.98,2017-08-23
291,291,33536.73,7783.31,8177.77,33142.27,2010-10-01
292,292,41336.74,12600.38,5445.4,48491.72,2010-09-14
293,293,100145.43,16214.97,17968.24,98392.16,2014-09-02
294,294,39349.8,5732.41,5396.06,39686.15,2021-07-31
295,295,68994.7,26837.0,6835.72,88995.98,2012-10-31
296,296,45863.36,13012.27,5035.99,53839.64,2019-12-29
297,297,58320.28,13984.42,17476.55,54828.15,2023-11-24
298,298,99800.77,13605.76,16543.85,96862.68,2023-05-25
299,299,50844.37,14676.33,7924.56,57596.14,2010-07-03
300,300,52413.34,9694.6,8969.58,53138.36,2024-02-08
301,301,57953.09,19976.16,19586.8,58342.45,2021-02-23
302,302,57447.66,29330.51,6151.95,80626.22,2017-01-18
303,303,85639.45,14818.12,12256.15,88201.42,2010-03-14
304,304,86385.05,10140.37,11639.71,84885.71,2021-05-25
305,305,38929.23,13096.27,7790.07,44235.43,2023-01-18
306,306,59037.3,16435.95,12480.81,62992.44,2012-01-07
307,307,33328.67,7190.21,7574.32,32944.56,2016-08-02
308,308,52272.24,6590.02,6291.82,52570.44,2013-07-04
309,309,59510.34,17438.92,10473.69,66475.57,2020-05-24
310,310,45515.78,8798.51,9097.88,45216.41,2018-08-26
311,311,70583.32,25709.53,15804.54,80488.31,2019-09-01
312,312,48674.62,12582.56,7488.55,53768.63,2019-06-01
313,313,59545.75,22210.26,15237.9,66518.11,2023-01-19
314,314,29391.37,8689.85,8118.83,29962.39,2021-06-14
315,315,94663.18,11329.79,9445.28,96547.69,2020-11-19
316,316,61183.18,18048.82,17385.81,61846.19,2014-01-19
317,317,52142.66,5334.35,5116.75,52360.26,2011-04-05
318,318,83844.26,10669.06,9798.46,84714.86,2011-05-09
319,319,79206.45,11501.46,10647.58,80060.33,2013-10-16
320,320,61895.41,22869.22,6172.98,78591.65,2018-07-26
321,321,21679.81,5228.95,6147.45,20761.31,2019-08-24
322,322,65066.39,17881.87,18057.75,64890.51,2010-08-11
323,323,83627.75,14742.29,19987.63,78382.41,2024-02-21
324,324,63693.4,25133.34,17018.51,71808.23,2012-07-30
325,325,52647.67,17198.34,9007.46,60838.55,2017-02-18
326,326,90329.43,13265.97,19484.41,84110.99,2020-08-08
327,327,89200.04,19860.63,10742.08,98318.59,2014-06-02
328,328,46303.87,11869.96,9352.49,48821.34,2018-06-30
329,329,52690.47,5431.37,7296.59,50825.25,2021-06-08
330,330,93036.89,18176.34,12006.19,99207.04,2024-11-19
331,331,76433.62,15789.37,13537.01,78685.98,2014-03-10
332,332,49565.15,12090.27,5755.38,55900.04,2018-07-02
333,333,100185.07,12530.04,18180.71,94534.4,2010-12-14
334,334,97191.22,11064.97,16030.62,92225.57,2018-05-20
335,335,99770.07,10607.83,18318.37,92059.53,2011-01-01
336,336,47903.89,8407.87,8785.29,47526.47,2018-11-27
337,337,53259.2,19048.62,19221.72,53086.1,2015-06-12
338,338,79687.54,20467.42,13338.4,86816.56,2021-03-05
339,339,25388.76,11281.28,7568.25,29101.79,2024-11-03
340,340,49864.59,10253.4,7504.84,52613.15,2020-10-12
341,341,52193.16,10205.12,8556.6,53841.68,2020-03-04
342,342,53873.86,7439.05,5094.59,56218.32,2020-12-26
343,343,81014.15,24715.34,10457.35,95272.14,2015-02-21
344,344,47711.47,10840.91,7165.57,51386.81,2017-06-26
345,345,54197.58,5257.0,5206.76,54247.82,2017-04-21
346,346,81525.32,19984.81,10996.17,90513.96,2012-12-22
347,347,50442.89,9300.79,5170.54,54573.14,2013-07-05
348,348,54344.98,7146.3,6145.56,55345.72,2015-05-31
349,349,95566.52,17690.06,15588.48,97668.1,2019-02-18
350,350,31865.11,5190.17,7893.96,29161.32,2021-10-10
351,351,48581.98,9936.06,9853.7,48664.34,2010-08-20
352,352,37538.22,7080.52,8788.81,35829.93,2016-08-26
353,353,76471.67,22608.68,18972.42,80107.93,2010-08-22
354,354,50274.8,19788.59,9003.88,61059.51,2011-10-04
355,355,47176.34,12916.25,7795.1,52297.49,2010-07-06
356,356,78931.72,18217.78,15554.01,81595.49,2022-07-12
357,357,30965.33,5677.08,9346.67,27295.74,2010-12-03
358,358,77029.09,10213.38,10253.38,76989.09,2017-12-27
359,359,74503.47,27613.13,7801.66,94314.94,2014-12-27
360,360,71240.12,25462.7,18649.72,78053.1,2011-06-14
361,361,81751.54,20952.93,5260.74,97443.73,2022-09-08
362,362,45953.01,14842.21,9085.67,51709.55,2012-10-04
363,363,84836.37,21615.82,19484.28,86967.91,2017-11-14
364,364,44392.25,11076.5,8571.71,46897.04,2013-01-01
365,365,76328.57,23771.89,18007.33,82093.13,2018-11-03
366,366,56196.97,11733.79,8785.25,59145.51,2021-05-13
367,367,31153.45,6438.17,9498.41,28093.21,2017-09-17
368,368,60731.96,24413.6,10368.58,74776.98,2013-11-09
369,369,30059.89,12288.74,6505.7,35842.93,2023-08-29
370,370,38646.23,14471.65,9438.7,43679.18,2020-08-26
371,371,58066.19,10508.63,9682.85,58891.97,2015-01-11
372,372,51938.72,28296.8,18513.6,61721.92,2023-01-31
373,373,72328.01,18127.27,12019.89,78435.39,2013-10-26
374,374,50225.81,16988.11,18339.39,48874.53,2019-07-13
375,375,61394.56,29647.36,5671.01,85370.91,2012-10-30
376,376,43186.96,12435.78,6889.08,48733.66,2023-02-26
377,377,54812.76,12507.96,6088.48,61232.24,2010-03-18
378,378,85317.38,14168.38,18032.63,81453.13,2024-07-14
379,379,78995.59,27903.89,8990.18,97909.3,2022-06-08
380,380,55791.62,7389.77,5976.41,57204.98,2011-06-12
381,381,53091.19,5008.81,9683.95,48416.05,2015-09-14
382,382,98645.8,13375.96,18745.4,93276.36,2019-05-13
383,383,58131.28,7518.26,5008.59,60640.95,2016-07-22
384,384,57390.9,19788.37,5102.37,72076.9,2010-11-01
385,385,41702.81,12592.38,8946.76,45348.43,2019-05-24
386,386,63669.44,19704.45,17669.75,65704.14,2018-03-12
387,387,73031.7,28780.74,7818.63,93993.81,2017-08-22
388,388,21166.45,6828.27,7212.44,20782.28,2022-05-01
389,389,80582.42,18024.95,11780.17,86827.2,2018-07-13
390,390,34074.48,5097.19,6247.77,32923.9,2024-05-14
391,391,33022.9,7501.64,6079.0,34445.54,2019-08-26
392,392,51479.3,27937.09,16198.6,63217.79,2021-05-03
393,393,56527.12,13426.6,6796.19,63157.53,2013-06-18
394,394,62383.22,20578.17,11243.14,71718.25,2015-10-19
395,395,53286.4,10647.52,8436.15,55497.77,2018-06-11
396,396,48831.71,6810.71,9837.77,45804.65,2023-06-01
397,397,85609.44,15929.91,8451.93,93087.42,2021-02-22
398,398,101191.83,13626.93,17729.08,97089.68,2011-07-23
399,399,73665.8,11442.56,9065.81,76042.55,2018-07-31
400,400,69591.04,15122.24,5037.92,79675.36,2019-12-29
401,401,21411.36,5314.66,8857.29,17868.73,2012-11-09
402,402,71583.56,20756.58,19044.17,73295.97,2018-07-08
403,403,42351.64,7399.45,9616.23,40134.86,2012-09-17
404,404,67433.63,19469.42,16319.6,70583.45,2024-09-04
405,405,32175.28,5280.84,8249.28,29206.84,2012-07-05
406,406,65070.94,29469.78,12125.04,82415.68,2015-01-29
407,407,53179.6,20360.89,9105.64,64434.85,2024-03-23
408,408,83264.09,23298.82,15698.69,90864.22,2020-05-10
409,409,54036.69,15171.94,13377.98,55830.65,2022-02-03
410,410,55374.17,8911.04,8369.86,55915.35,2017-04-11
411,411,88690.09,11226.76,9063.45,90853.4,2015-04-25
412,412,69022.17,23830.48,18950.7,73901.95,2017-12-07
413,413,94556.96,10794.1,17026.64,88324.42,2020-04-16
414,414,42636.4,14692.53,6435.73,50893.2,2021-04-08
415,415,69922.74,14731.45,8092.88,76561.31,2011-10-11
416,416,66712.34,11447.73,10114.94,68045.13,2022-06-29
417,417,75161.03,10676.24,15054.74,70782.53,2011-03-20
418,418,49987.25,6636.9,8104.41,48519.74,2024-09-22
419,419,71761.59,19936.68,8891.18,82807.09,2016-06-22
420,420,25963.91,6366.1,5300.19,27029.82,2024-12-07
421,421,40465.72,13680.16,9598.85,44547.03,2024-10-28
422,422,78258.58,23744.78,11834.58,90168.78,2023-04-30
423,423,54980.69,10047.21,15590.52,49437.38,2021-03-08
424,424,60290.15,27606.91,17658.66,70238.4,2012-06-26
425,425,73203.46,29050.03,8206.56,94046.93,2011-05-16
426,426,33536.42,9718.84,7237.04,36018.22,2015-03-14
427,427,50904.64,10632.18,7823.52,53713.3,2016-07-07
428,428,85550.99,28924.97,17810.88,96665.08,2023-11-29
429,429,67947.69,24431.85,13046.81,79332.73,2010-08-01
430,430,88676.21,10598.09,14145.76,85128.54,2023-12-21
431,431,25623.79,10114.78,6947.46,28791.11,2020-12-11
432,432,79045.44,13473.39,18171.89,74346.94,2016-06-28
433,433,32446.23,10911.17,6278.51,37078.89,2017-07-22
434,434,21727.63,9510.72,8979.57,22258.78,2020-03-07
435,435,53647.21,28908.55,8226.65,74329.11,2021-12-04
436,436,36173.75,11802.12,5905.29,42070.58,2015-10-09
437,437,61968.56,27144.08,18728.64,70384.0,2023-05-14
438,438,72059.3,16830.69,6182.55,82707.44,2020-08-25
439,439,27770.67,13178.88,7597.54,33352.01,2024-03-08
440,440,53534.2,10775.19,9372.63,54936.76,2024-11-28
441,441,67418.44,10936.62,16607.77,61747.29,2021-02-27
442,442,73588.54,12524.4,18393.73,67719.21,2021-09-08
443,443,84479.71,16838.57,7457.74,93860.54,2019-01-15
444,444,64874.12,11050.4,9468.49,66456.03,2023-04-26
445,445,74536.44,20558.1,10722.54,84372.0,2011-07-16
446,446,57925.83,13326.88,16290.71,54962.0,2022-01-15
447,447,56625.09,9825.65,8872.0,57578.74,2012-05-29
448,448,28814.63,11669.44,9884.17,30599.9,2020-07-09
